locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBFCLOEN_00239	CDS	999		1.13.12.-	COG2070	Putative monooxygenase
CBFCLOEN_00240	CDS	312				hypothetical protein
CBFCLOEN_00241	CDS	1191		2.3.1.-		Putative pyridoxal phosphate-dependent acyltransferase
CBFCLOEN_00242	CDS	945				putative epimerase/dehydratase
CBFCLOEN_00243	CDS	963	selD	2.7.9.3	COG0709	Selenide, water dikinase
CBFCLOEN_00244	CDS	396	cotM		COG0071	Spore coat protein M
CBFCLOEN_00245	CDS	1410	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
CBFCLOEN_00246	CDS	141	sspP			Small, acid-soluble spore protein P
CBFCLOEN_00247	CDS	270				hypothetical protein
CBFCLOEN_00248	CDS	153	sspO			Small, acid-soluble spore protein O
CBFCLOEN_00249	CDS	2706	citB	4.2.1.3	COG1048	Aconitate hydratase A
CBFCLOEN_00250	CDS	1719	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
CBFCLOEN_00251	CDS	360				hypothetical protein
CBFCLOEN_00252	CDS	645	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
CBFCLOEN_00253	CDS	1389	hssS	2.7.13.3		Heme sensor protein HssS
CBFCLOEN_00254	CDS	537	resA_1			Thiol-disulfide oxidoreductase ResA
CBFCLOEN_00255	CDS	135				hypothetical protein
CBFCLOEN_00256	CDS	144	sspN			Small, acid-soluble spore protein N
CBFCLOEN_00257	CDS	378	pinR	3.1.22.-	COG1961	Serine recombinase PinR
CBFCLOEN_00258	CDS	1089	yndE_1			Spore germination protein YndE
CBFCLOEN_00259	CDS	1077				hypothetical protein
CBFCLOEN_00260	CDS	1536	gerAA_2			Spore germination protein A1
CBFCLOEN_00261	CDS	1008				hypothetical protein
CBFCLOEN_00262	CDS	228	tlp			Small, acid-soluble spore protein Tlp
CBFCLOEN_00263	CDS	2337	spoVK_1		COG0464	Stage V sporulation protein K
CBFCLOEN_00264	CDS	429	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
CBFCLOEN_00265	CDS	330				hypothetical protein
CBFCLOEN_00266	CDS	1158	capA			Capsule biosynthesis protein CapA
CBFCLOEN_00267	CDS	111				hypothetical protein
CBFCLOEN_00268	CDS	600	plsY_1	2.3.1.-	COG0344	Glycerol-3-phosphate acyltransferase
CBFCLOEN_00269	CDS	1305	dgcM_1	2.7.7.65	COG2199	Diguanylate cyclase DgcM
CBFCLOEN_00270	CDS	933	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
CBFCLOEN_00271	CDS	414	yccU		COG1832	putative protein YccU
CBFCLOEN_00272	CDS	2028	parE	5.99.1.3	COG0187	DNA topoisomerase 4 subunit B
CBFCLOEN_00273	CDS	2439	parC	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
CBFCLOEN_00274	CDS	750				hypothetical protein
CBFCLOEN_00275	CDS	450	yusO_1			putative HTH-type transcriptional regulator YusO
CBFCLOEN_00276	CDS	1728			COG1132	putative ABC transporter ATP-binding protein
CBFCLOEN_00277	CDS	1893			COG1132	putative ABC transporter ATP-binding protein
CBFCLOEN_00278	CDS	1089	xerS		COG0582	Tyrosine recombinase XerS
CBFCLOEN_00279	CDS	276				hypothetical protein
CBFCLOEN_00280	CDS	354				hypothetical protein
CBFCLOEN_00281	CDS	1200	adhB	1.1.1.1		Alcohol dehydrogenase 2
CBFCLOEN_00282	CDS	1371	mdlD	1.2.1.28		NAD(P)-dependent benzaldehyde dehydrogenase
CBFCLOEN_00283	CDS	576	yjbC	2.3.1.-		Putative acetyltransferase YjbC
CBFCLOEN_00284	CDS	801				hypothetical protein
CBFCLOEN_00285	CDS	981				hypothetical protein
CBFCLOEN_00286	CDS	1359				hypothetical protein
CBFCLOEN_00287	CDS	930	ravA	3.6.3.-		ATPase RavA
CBFCLOEN_00288	CDS	1137				hypothetical protein
CBFCLOEN_00289	CDS	642				hypothetical protein
CBFCLOEN_00290	CDS	915				hypothetical protein
CBFCLOEN_00291	CDS	666	degU_1		COG2197	Transcriptional regulatory protein DegU
CBFCLOEN_00292	CDS	2154	degS_1	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase DegS
CBFCLOEN_00293	CDS	690				hypothetical protein
CBFCLOEN_00294	CDS	1788	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
CBFCLOEN_00295	CDS	951				hypothetical protein
CBFCLOEN_00296	CDS	1167	chiB	3.2.1.14		Chitinase B
CBFCLOEN_00297	CDS	999	limB_1	1.14.13.107		Limonene 1,2-monooxygenase
CBFCLOEN_00298	CDS	285	ykvR			putative protein YkvR
CBFCLOEN_00299	CDS	363				hypothetical protein
CBFCLOEN_00300	CDS	777	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
CBFCLOEN_00301	CDS	423	catD_1	1.-.-.-	COG2259	Putative oxidoreductase CatD
CBFCLOEN_00302	CDS	654	estB	3.1.1.1	COG0400	Carboxylesterase 2
CBFCLOEN_00303	CDS	537	puuR			HTH-type transcriptional regulator PuuR
CBFCLOEN_00304	CDS	894	rhaS_1			HTH-type transcriptional activator RhaS
CBFCLOEN_00305	CDS	513				hypothetical protein
CBFCLOEN_00306	CDS	180				hypothetical protein
CBFCLOEN_00307	CDS	2898	chiA1	3.2.1.14		Chitinase A1
CBFCLOEN_00308	CDS	1707	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
CBFCLOEN_00309	CDS	795	fdhD_1		COG1526	Sulfur carrier protein FdhD
CBFCLOEN_00310	CDS	138				hypothetical protein
CBFCLOEN_00311	CDS	210				hypothetical protein
CBFCLOEN_00312	CDS	495				hypothetical protein
CBFCLOEN_00313	CDS	2985		1.17.1.9		Putative formate dehydrogenase
CBFCLOEN_00314	CDS	795	focA_1		COG2116	putative formate transporter 1
CBFCLOEN_00315	CDS	219				hypothetical protein
CBFCLOEN_00316	CDS	786	cwlS_1	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
CBFCLOEN_00317	CDS	204				hypothetical protein
CBFCLOEN_00318	CDS	1467	gltB_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
CBFCLOEN_00319	CDS	4545	gltA	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CBFCLOEN_00320	CDS	903	gltC_1			HTH-type transcriptional regulator GltC
CBFCLOEN_00321	CDS	1761	kinA_2	2.7.13.3	COG0642	Sporulation kinase A
CBFCLOEN_00322	CDS	483				hypothetical protein
CBFCLOEN_00323	CDS	240	crh_1		COG1925	HPr-like protein Crh
CBFCLOEN_00324	CDS	1215	setC_1			Sugar efflux transporter C
CBFCLOEN_00325	CDS	930	glsA	3.5.1.2	COG2066	Glutaminase
CBFCLOEN_00326	CDS	789				hypothetical protein
CBFCLOEN_00327	CDS	774				hypothetical protein
CBFCLOEN_00328	CDS	981	natA_1		COG4555	ABC transporter ATP-binding protein NatA
CBFCLOEN_00329	CDS	1548	abf2_1	3.2.1.55	COG3534	Intracellular exo-alpha-L-arabinofuranosidase 2
CBFCLOEN_00330	CDS	1026	gutB	1.1.1.14	COG1063	Sorbitol dehydrogenase
CBFCLOEN_00331	CDS	642	rspR_1		COG1802	HTH-type transcriptional repressor RspR
CBFCLOEN_00332	CDS	942	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
CBFCLOEN_00333	CDS	837	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
CBFCLOEN_00334	CDS	948	araP_2		COG1175	L-arabinose transport system permease protein AraP
CBFCLOEN_00335	CDS	1323	araN_1		COG1653	putative arabinose-binding protein
CBFCLOEN_00336	CDS	846	dacB_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
CBFCLOEN_00337	CDS	882	vanW_1		COG2720	Vancomycin B-type resistance protein VanW
CBFCLOEN_00338	CDS	879	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
CBFCLOEN_00339	CDS	1116	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
CBFCLOEN_00340	CDS	399				hypothetical protein
CBFCLOEN_00341	CDS	255				Ferredoxin
CBFCLOEN_00342	CDS	354				hypothetical protein
CBFCLOEN_00343	CDS	1566	levB	3.2.1.64	COG1621	Levanbiose-producing levanase
CBFCLOEN_00344	CDS	1476	sacB	2.4.1.10		Levansucrase
CBFCLOEN_00345	CDS	1296	msmE_2		COG1653	Multiple sugar-binding protein
CBFCLOEN_00346	CDS	1185			COG4753	putative response regulatory protein
CBFCLOEN_00347	CDS	1794		2.7.13.3	COG2972	putative sensor-like histidine kinase
CBFCLOEN_00348	CDS	480				hypothetical protein
